name,t1,t2,mos
00570_DCC-Net.mp4,-1,-1,31.9
39_StableLLVE.mp4,-1,-1,75.9
109_BPHEME.mp4,-1,-1,31.65
58_DCC-Net.mp4,-1,-1,51.1
100_AGCCPF.mp4,-1,-1,25.25
80.mp4,-1,-1,25.7
pair63_BPHEME.mp4,-1,-1,30.2
75_BPHEME.mp4,-1,-1,21.3
55_StableLLVE.mp4,-1,-1,54.1
67_BPHEME.mp4,-1,-1,42.15
41_JY.mp4,-1,-1,29.2
2_SGZSL.mp4,-1,-1,34.2
pair48_GHE.mp4,-1,-1,37.65
106_BPHEME.mp4,-1,-1,42.4
73_SGZSL.mp4,-1,-1,41.25
pair3_SGZSL.mp4,-1,-1,55.7
pair49.mp4,-1,-1,24.55
pair45_DCC-Net.mp4,-1,-1,54.8
pair17_StableLLVE.mp4,-1,-1,44.4
57_StableLLVE.mp4,-1,-1,75.95
pair13_AGCCPF.mp4,-1,-1,30.4
102_StableLLVE.mp4,-1,-1,40.55
pair44_BPHEME.mp4,-1,-1,30.05
pair18_GHE.mp4,-1,-1,56.6
8372557828_JY.mp4,-1,-1,13.3
45_AGCCPF.mp4,-1,-1,34.7
14_MBLLEN.mp4,-1,-1,44.2
3861648412_SGZSL.mp4,-1,-1,26.5
pair38_BPHEME.mp4,-1,-1,23.15
11_MBLLEN.mp4,-1,-1,68.6
8431144343_BPHEME.mp4,-1,-1,20.95
6149591212.mp4,-1,-1,18.5
113_GHE.mp4,-1,-1,36.95
6135877141_StableLLVE.mp4,-1,-1,20.5
88_SGZSL.mp4,-1,-1,52.85
0923.mp4,-1,-1,73.85
8324243833_BPHEME.mp4,-1,-1,16.05
8215074237_MBLLEN.mp4,-1,-1,32.45
1009_AGCCPF.mp4,-1,-1,60.25
59_StableLLVE.mp4,-1,-1,33.85
25_MBLLEN.mp4,-1,-1,46.2
pair28_JY.mp4,-1,-1,43.75
96_SGZSL.mp4,-1,-1,38.2
1019.mp4,-1,-1,58.45
60_DCC-Net.mp4,-1,-1,20.25
pair14_SGZSL.mp4,-1,-1,36.15
16_JY.mp4,-1,-1,65.55
104.mp4,-1,-1,18.85
00548_SGZSL.mp4,-1,-1,51.5
108_SGZSL.mp4,-1,-1,29.35
6469679863_JY.mp4,-1,-1,15.75
3263720175_BPHEME.mp4,-1,-1,12.35
pair41_StableLLVE.mp4,-1,-1,54.9
1019_GHE.mp4,-1,-1,69.7
55_AGCCPF.mp4,-1,-1,37.7
6_AGCCPF.mp4,-1,-1,22.9
00729_StableLLVE.mp4,-1,-1,22.4
82_SGZSL.mp4,-1,-1,39.35
6268574586.mp4,-1,-1,13.55
41_StableLLVE.mp4,-1,-1,26.5
35_JY.mp4,-1,-1,71.85
pair31_BPHEME.mp4,-1,-1,22.75
pair68_GHE.mp4,-1,-1,34.25
46_MBLLEN.mp4,-1,-1,54.9
00543_MBLLEN.mp4,-1,-1,52.85
38_JY.mp4,-1,-1,45.9
5850199057_AGCCPF.mp4,-1,-1,22.25
pair8.mp4,-1,-1,30.45
23_MBLLEN.mp4,-1,-1,62
40_JY.mp4,-1,-1,46
pair7_JY.mp4,-1,-1,43.1
pair20_SGZSL.mp4,-1,-1,60.3
73_JY.mp4,-1,-1,37.2
3770747002.mp4,-1,-1,12.85
pair5_GHE.mp4,-1,-1,51.95
10_BPHEME.mp4,-1,-1,48.55
00729_JY.mp4,-1,-1,23.95
28_AGCCPF.mp4,-1,-1,25.6
0923_BPHEME.mp4,-1,-1,70.15
pair19_AGCCPF.mp4,-1,-1,37.8
pair46_GHE.mp4,-1,-1,29.05
pair8_GHE.mp4,-1,-1,56.75
3699089579_SGZSL.mp4,-1,-1,32.65
8324243833_AGCCPF.mp4,-1,-1,21.5
107.mp4,-1,-1,21
1009_JY.mp4,-1,-1,64
55_BPHEME.mp4,-1,-1,30.65
00484_GHE.mp4,-1,-1,17.6
114_GHE.mp4,-1,-1,57
113.mp4,-1,-1,44.6
pair23_AGCCPF.mp4,-1,-1,31.1
pair49_GHE.mp4,-1,-1,50.6
8278672659.mp4,-1,-1,18.5
26_MBLLEN.mp4,-1,-1,21.25
pair21_AGCCPF.mp4,-1,-1,35.65
00021_AGCCPF.mp4,-1,-1,59.45
60_StableLLVE.mp4,-1,-1,22.75
00543_DCC-Net.mp4,-1,-1,34.6
4406917423_SGZSL.mp4,-1,-1,36.5
83_JY.mp4,-1,-1,30.5
59_MBLLEN.mp4,-1,-1,32.7
1009_StableLLVE.mp4,-1,-1,59.55
4236199952_BPHEME.mp4,-1,-1,39.5
9494995600_JY.mp4,-1,-1,17.3
pair38.mp4,-1,-1,26.95
81_DCC-Net.mp4,-1,-1,50.2
pair59_GHE.mp4,-1,-1,46.15
12.mp4,-1,-1,17.65
51_MBLLEN.mp4,-1,-1,28.3
5_StableLLVE.mp4,-1,-1,32.95
5694745216_DCC-Net.mp4,-1,-1,16.1
4406917423_BPHEME.mp4,-1,-1,22.15
00031_BPHEME.mp4,-1,-1,35.65
pair4_JY.mp4,-1,-1,46.25
29_GHE.mp4,-1,-1,69
3699089579_AGCCPF.mp4,-1,-1,31.9
pair35.mp4,-1,-1,27.7
00548_MBLLEN.mp4,-1,-1,48.4
40.mp4,-1,-1,24.65
70_SGZSL.mp4,-1,-1,18.15
116_JY.mp4,-1,-1,62.4
114_JY.mp4,-1,-1,60.55
pair17_SGZSL.mp4,-1,-1,41.25
53_BPHEME.mp4,-1,-1,24.45
93_StableLLVE.mp4,-1,-1,73.7
12_StableLLVE.mp4,-1,-1,30.5
8635322862_StableLLVE.mp4,-1,-1,25.85
2_AGCCPF.mp4,-1,-1,38.2
00818_DCC-Net.mp4,-1,-1,36.55
63_AGCCPF.mp4,-1,-1,52.25
pair21_StableLLVE.mp4,-1,-1,50.65
pair56_BPHEME.mp4,-1,-1,22.8
12_MBLLEN.mp4,-1,-1,35.05
2_DCC-Net.mp4,-1,-1,26.95
pair11_GHE.mp4,-1,-1,36.95
6135877141_BPHEME.mp4,-1,-1,20.1
104_BPHEME.mp4,-1,-1,26.2
pair59_BPHEME.mp4,-1,-1,22.35
